RootImage,BotSum,HumanSum
nCO1 Control 5-4 43,158,72
AO1 Control 5-4 22,139,31
AO1 Lithium 5-4 48,65,15
AO1 Control 5-4 48,88,25
CO1 Control 5-4 43,116,47
AO1 Control 5-4 13,111,36
nCO1 Lithium 5-4 5,122,61
ACO1 Control 5-4 48,65,19
AO1 Lithium 5-4 50,57,5
ACO1 Lithium 5-4 45,113,37
nCO1 Lithium 5-4 35,10,0
AO1 Lithium 5-4 27,157,0
AO1 Control 5-4 35,129,28
ACO1 Lithium 5-4 41,94,27
AO1 Control 5-4 21,93,36
nCO1 Control 5-4 21,151,44
AO1 Lithium 5-4 47,81,23
AO1 Lithium 5-4 44,59,20
CO1 Control 5-4 20,169,83
nCO1 Control 5-4 19,158,72
ACO1 Control 5-4 37,76,22
nCO1 Control 5-4 37,179,63
ACO1 Control 5-4 16,90,9
CO1 Control 5-4 35,152,77
AO1 Lithium 5-4 23,43,0
CO1 Control 5-4 7,104,64
AO1 Control 5-4 18,36,5
ACO1 Control 5-4 5,54,15
CO1 Control 5-4 11,19,0
CO1 Lithium 5-4 33,201,95
nCO1 Lithium 5-4 27,167,71
CO1 Control 5-4 19,68,0
nCO1 Lithium 5-4 37,35,3
nCO1 Lithium 5-4 45,152,67
nCO1 Control 5-4 28,66,0
CO1 Control 5-4 44,118,59
AO1 Control 5-4 24,205,0
nCO1 Control 5-4 3,38,2
ACO1 Control 5-4 11,105,21
nCO1 Control 5-4 49,30,0
nCO1 Control 5-4 15,202,54
AO1 Control 5-4 46,145,7
nCO1 Lithium 5-4 12,149,97
ACO1 Lithium 5-4 33,53,27
AO1 Lithium 5-4 3,51,1
ACO1 Control 5-4 38,52,19
ACO1 Control 5-4 29,21,0
ACO1 Control 5-4 13,139,30
ACO1 Control 5-4 35,99,30
ACO1 Lithium 5-4 32,89,0
ACO1 Lithium 5-4 29,59,3
nCO1 Lithium 5-4 4,139,75
nCO1 Control 5-4 17,128,88
nCO1 Lithium 5-4 40,177,79
nCO1 Control 5-4 25,121,67
ACO1 Control 5-4 43,89,1
AO1 Lithium 5-4 22,44,17
AO1 Lithium 5-4 1,97,41
CO1 Lithium 5-4 22,123,55
ACO1 Lithium 5-4 46,70,18
